book_title,author,average_rating,rating_count,review_count,number_of_page,first_publish_year,editions,format,language,ISBN,link
Mathematical Foundations of Computer Science,Shahnaz Bathul,4.0,4,1,397,2010,3,Kindle Edition,English,,https://www.goodreads.com/book/show/21217632-mathematical-foundations-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=198
Operating System Concepts through Memes: World's first memes book in Computer Science,Pandikumar S,3.25,8,2,304,,1,Kindle Edition,,,https://www.goodreads.com/book/show/44172153-operating-system-concepts-through-memes?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=199
Combinatorics for Computer Science,S. Gill Williamson,4.0,3,0,523,,2,Paperback,English,ISBN0486420760(ISBN13:9780486420769),https://www.goodreads.com/book/show/746765.Combinatorics_for_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=200
Introduction to Computer Science Using Python,Charles Dierbach,4.2,5,0,608,,2,Paperback,,ISBN8126556013,https://www.goodreads.com/book/show/28809434-introduction-to-computer-science-using-python?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=201
Aqa a Level Computer Science,Bob Reeves,4.33,9,0,448,2015,2,Paperback,English,ISBN1471839516(ISBN13:9781471839511),https://www.goodreads.com/book/show/27406644-aqa-a-level-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=202
"Computer Science Books (Book Guide): Computer Security Books, Hacker, the Art of Computer Programming, the Cathedral and the Bazaar",Books LLC,4.75,4,0,88,2010,1,Paperback,,ISBN1155341139(ISBN13:9781155341132),https://www.goodreads.com/book/show/9649768-computer-science-books-book-guide?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=203
E-world -Computer Science for ICSE Class 8 By Pearson,"['Anita Goel', 'Sanchayan Kumar Ray']",3.0,2,0,176,,1,Paperback,,ISBN9332579598(ISBN13:9789332579590),https://www.goodreads.com/book/show/45869761-e-world--computer-science-for-icse-class-8-by-pearson?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=205
Computer Science: A Breadth-First Approach with Pascal,"['Paul Nagin', 'John Impagliazzo']",5.0,6,0,752,1995,1,Paperback,English,ISBN0471311987(ISBN13:9780471311980),https://www.goodreads.com/book/show/4760509-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=206
Cartoon Guide to Computer Science,Larry Gonick,3.89,98,8,248,1983,3,Paperback,English,ISBN0064604179(ISBN13:9780064604178),https://www.goodreads.com/book/show/1511591.Cartoon_Guide_to_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=207
Combinatorial Optimization: Algorithms and Complexity (Dover Books on Computer Science),"['Christos H. Papadimitriou', 'Kenneth Steiglitz']",4.01,116,6,528,2012,4,Kindle Edition,English,ISBN0486320138(ISBN13:9780486320137),https://www.goodreads.com/book/show/19082672-combinatorial-optimization?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=208
Computer Science with Python Language Made Simple: Class XI,Satish Jain,4.0,6,0,400,,1,Paperback,,ISBN8183335187(ISBN13:9788183335188),https://www.goodreads.com/book/show/35408747-computer-science-with-python-language-made-simple?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=209
Logics for Computer Science,Arindama Singh,4.5,2,1,369,2004,1,Paperback,,ISBN8120322843(ISBN13:9788120322844),https://www.goodreads.com/book/show/3841209-logics-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=210
Fundamentals of Computer Science,HARIPRASATH P,3.43,7,0,102,2015,2,Kindle Edition,English,,https://www.goodreads.com/book/show/25890404-fundamentals-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=212
An Introduction to Mathematical Modeling (Dover Books on Computer Science),Edward A. Bender,4.1,21,2,272,1991,5,eBook Kindle,English,ISBN0486137120(ISBN13:9780486137124),https://www.goodreads.com/book/show/19174410-an-introduction-to-mathematical-modeling?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=214
"Operation of Restructured Power Systems (The Kluwer International Series in Engineering and Computer Science, Volume 621) (Power Electronics and Power Systems)",Kankar Bhattacharya,3.14,7,0,328,2001,1,Hardcover,,ISBN0792373979(ISBN13:9780792373971),https://www.goodreads.com/book/show/1162055.Operation_of_Restructured_Power_Systems_The_Kluwer_International_Series_in_Engineering_and_Computer_Science_Volume_621_?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=215
"Wiley Acing the GATE: Computer Science and Information Technology, 2ed, 2020","['ANIL KUMAR VERMA', 'Gaurav Sharma', 'Kuldeep Singh']",4.5,2,1,,,1,Paperback,,ISBN8126598514(ISBN13:9788126598519),https://www.goodreads.com/book/show/49395358-wiley-acing-the-gate?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=216
Kicking Butt in Computer Science: Women in Computing at Carnegie Mellon University,"['Carol Frieze', 'Jeria Quesenberry']",3.82,11,2,142,,2,Paperback,,ISBN1457539276(ISBN13:9781457539275),https://www.goodreads.com/book/show/27964462-kicking-butt-in-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=218
"Answer Key: Contemporary Precalculus Through Applications. Functions, Data Analysis, and Matrices",North Carolina School of Science and Mathematics. Department of Mathematics and Computer Science,0.0,0,0,231,,1,Paperback,,ISBN0939765551(ISBN13:9780939765553),https://www.goodreads.com/book/show/45169317-answer-key?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=219
Computer Science with Python,Reeta Sahoo,5.0,1,0,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/34604495-computer-science-with-python?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=220
Exploring Computer Science with Scheme,Oliver Grillmeyer,4.29,7,0,582,1997,4,Hardcover,English,ISBN0387948953(ISBN13:9780387948959),https://www.goodreads.com/book/show/3152859-exploring-computer-science-with-scheme?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=221
Foundation Mathematics for Computer Science: A Visual Approach,John Vince,5.0,1,0,334,2015,3,Paperback,,ISBN3319214365(ISBN13:9783319214368),https://www.goodreads.com/book/show/26498352-foundation-mathematics-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=222
Fundamentals of Discrete Math for Computer Science: A Problem-Solving Primer,"['Tom Jenkyns', 'Ben  Stephenson']",3.14,7,1,416,2012,5,Paperback,English,ISBN1447140680(ISBN13:9781447140689),https://www.goodreads.com/book/show/14478365-fundamentals-of-discrete-math-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=223
Frank computer Science - Class 8,Suchanda Sen,5.0,1,0,,,1,Paperback,,ISBN9350375362(ISBN13:9789350375365),https://www.goodreads.com/book/show/36167949-frank-computer-science---class-8?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=224
New Understanding Computer Science For Advanced Level,Ray Bradley,4.6,10,0,,2001,1,Paperback,English,ISBN0748761470(ISBN13:9780748761470),https://www.goodreads.com/book/show/601567.New_Understanding_Computer_Science_For_Advanced_Level?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=225
"45th Annual IEEE Symposium on Foundations of Computer Science: Focs 2004: Proceedings, 17-19 October 2004, Rome, Italy.",Italy) IEEE Symposium on Foundations of Computer Science (45th 200,0.0,0,0,,2004,1,Unknown Binding,,ISBN0769522289(ISBN13:9780769522289),https://www.goodreads.com/book/show/21922119-45th-annual-ieee-symposium-on-foundations-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=226
Schaum's Introduction to Computer Science,Ramon Mata-Toledo,3.67,6,0,240,1999,1,Paperback,English,ISBN007134554X(ISBN13:9780071345545),https://www.goodreads.com/book/show/457105.Schaum_s_Introduction_to_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=228
UGC Net/JRF/SET Computer Science and Applications Paper II and III,Upkar Prakashan,3.5,4,0,640,2010,1,Paperback,English,ISBN817482586X(ISBN13:9788174825865),https://www.goodreads.com/book/show/26103360-ugc-net-jrf-set-computer-science-and-applications-paper-ii-and-iii?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=230
A Programmer's Guide to Computer Science Vol. 2: A virtual degree for the self-taught developer,"['William M. Springer II', 'Brit Springer']",4.5,2,0,,,3,Kindle Edition,,,https://www.goodreads.com/book/show/50569452-a-programmer-s-guide-to-computer-science-vol-2?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=231
The Beauty of Mathematics in Computer Science,Jun Wu,4.33,9,2,268,,5,Paperback,,ISBN1138049603(ISBN13:9781138049604),https://www.goodreads.com/book/show/40590851-the-beauty-of-mathematics-in-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=232
The Secrets of Nostradamus: The Medieval Code of the Master Revealed in the Age of Computer Science,David Ovason,3.42,33,1,304,1997,14,Paperback,English,ISBN0712677100(ISBN13:9780712677103),https://www.goodreads.com/book/show/1799107.The_Secrets_of_Nostradamus?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=233
Khnum-Ptah to Computer: The African Initialization of Computer Science,African Creation Energy,3.5,2,0,194,2013,1,Paperback,English,ISBN1300498919(ISBN13:9781300498919),https://www.goodreads.com/book/show/17657582-khnum-ptah-to-computer?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=234
Introducing ethics in Information and Computer Sciences,Open University,5.0,4,0,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/30057368-introducing-ethics-in-information-and-computer-sciences?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=235
Keyboard Computer Science Class 9,"['Sangeeta Panchal', 'Alka Sabharwal']",0.0,0,0,,,1,Paperback,,ISBN0198063687(ISBN13:9780198063681),https://www.goodreads.com/book/show/34042609-keyboard-computer-science-class-9?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=236
Ugc Net Computer Science and Applications,"['Surbhi Sharma', 'Kailash Chandra Gurunani']",3.5,6,0,1240,,1,Paperback,,ISBN9312146505(ISBN13:9789312146507),https://www.goodreads.com/book/show/40493062-ugc-net-computer-science-and-applications?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=237
Schaum's Outline of Principles of Computer Science (Schaum's Outline Series),"['Carl Reynolds', 'Paul Tymann']",3.13,8,0,221,2008,5,Kindle Edition,English,,https://www.goodreads.com/book/show/19284958-schaum-s-outline-of-principles-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=238
"Python for Data Analysis: A Complete Guide for Beginners, Including Python Statistics and Big Data Analysis.",Computer Science Academy,2.5,2,1,100,,2,Kindle Edition,,,https://www.goodreads.com/book/show/51042813-python-for-data-analysis?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=241
Understanding I.S.C. Computer Science Class- XI (2018-19 Session),"['V.K. Pandey', 'D.K. Dey']",4.25,4,0,556,,1,Paperback,,ISBN8182966744(ISBN13:9788182966741),https://www.goodreads.com/book/show/45459274-understanding-i-s-c-computer-science-class--xi?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=242
Philosophy of Computer Science,William J. Rapaport,4.0,1,0,897,,2,ebook,English,,https://www.goodreads.com/book/show/45141663-philosophy-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=243
"Logic for Computer Science: Foundations of Automatic Theorem Proving, Second Edition (Dover Books on Computer Science)",Jean H. Gallier,4.38,8,0,532,1985,4,Kindle Edition,English,,https://www.goodreads.com/book/show/25683228-logic-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=244
Linear Algebra and Probability for Computer Science Applications,Ernest Davis,4.5,2,0,413,2012,2,Hardcover,English,ISBN1466501553(ISBN13:9781466501553),https://www.goodreads.com/book/show/14411283-linear-algebra-and-probability-for-computer-science-applications?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=245
From Algorithms to Z-Scores: Probabilistic and Statistical Modeling in Computer Science,Norman Saul Matloff,4.67,3,1,274,2009,1,Paperback,English,ISBN1616100362(ISBN13:9781616100360),https://www.goodreads.com/book/show/13192785-from-algorithms-to-z-scores?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=246
"Security of Networks and Services in an All-Connected World: 11th IFIP WG 6.6 International Conference on Autonomous Infrastructure, Management, and Security, ... Notes in Computer Science Book 10356)","['Daphne Tuncer', 'Robert Koch', 'Remi Badonnel', 'Burkhard Stiller']",4.2,5,0,212,,1,Kindle Edition,,,https://www.goodreads.com/book/show/39640666-security-of-networks-and-services-in-an-all-connected-world?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=247
"Computer Science, a First Course",Alexandra I. Forsythe,5.0,2,0,876,1970,4,Unknown Binding,English,ISBN0471266817(ISBN13:9780471266815),https://www.goodreads.com/book/show/3998214-computer-science-a-first-course?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=249
Building Blocks for Theoretical Computer Science,Margaret M. Fleck,4.67,6,0,256,2012,1,ebook,English,,https://www.goodreads.com/book/show/23820138-building-blocks-for-theoretical-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=250
Foundations of Computer Science: : From Data Manipulation to Theory of Computation,"['Richard F. Gilberg', 'Behrouz A. Forouzan']",4.33,12,0,,2007,1,Paperback,English,ISBN1418836095(ISBN13:9781418836092),https://www.goodreads.com/book/show/2019823.Foundations_of_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=251
The Computer Science and Engineering Handbook,Allen B. Tucker Jr.,4.0,4,0,2656,1997,1,Hardcover,English,ISBN0849329094(ISBN13:9780849329098),https://www.goodreads.com/book/show/8328606-the-computer-science-and-engineering-handbook?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=252
Parsing Techniques: A Practical Guide. Monographs in Computer Science.,"['Dick Grune', 'Ceriel J. Jacobs']",4.27,33,2,677,1990,6,ebook,,ISBN1281108227(ISBN13:9781281108227),https://www.goodreads.com/book/show/16825061-parsing-techniques?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=253
"Binary, Octal and Hexadecimal for Programming & Computer Science",Sunil Tanna,4.5,6,0,34,,2,Kindle Edition,,,https://www.goodreads.com/book/show/40846951-binary-octal-and-hexadecimal-for-programming-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=254
Computer Science: Discovering God's Glory in Ones and Zeros,Jonathan R. Stoddard,3.83,18,4,32,2015,2,Kindle Edition,English,,https://www.goodreads.com/book/show/25141966-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=257
Introduction to Computer Science with Android,Hamzeh Roumani,3.4,5,0,,,2,Paperback,English,ISBN1775125408(ISBN13:9781775125402),https://www.goodreads.com/book/show/41962498-introduction-to-computer-science-with-android?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=258
Mcq Bank in Computer Science,D.P. Nagpal,0.0,0,0,826,,1,Paperback,,ISBN8121925487(ISBN13:9788121925488),https://www.goodreads.com/book/show/45862325-mcq-bank-in-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=259
Click Start Level 6 Teacher's Manual Pakistan Edition: Computer Science for Schools,"['Anjana Virmani', 'Shalini Harisukh']",4.57,7,0,,,1,Paperback,,ISBN1107672163(ISBN13:9781107672161),https://www.goodreads.com/book/show/28131724-click-start-level-6-teacher-s-manual-pakistan-edition?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=260
"Computer Science: An Overview, 12e","['Glenn Brookshear', 'Dennis Brylow']",3.5,8,2,640,,1,Paperback,,ISBN9332587612,https://www.goodreads.com/book/show/39100717-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=261
Click Start Level 8 Teacher's Manual Pakistan Edition: Computer Science for Schools,"['Anjana Virmani', 'Shalini Harisukh']",4.57,7,0,,,1,Paperback,,ISBN1107694108(ISBN13:9781107694101),https://www.goodreads.com/book/show/28131868-click-start-level-8-teacher-s-manual-pakistan-edition?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=262
GATE Overflow Book for GATE Computer Science 2019 (3 Volumes combined),Arjun Suresh,4.0,4,0,,,1,Paperback,,ISBN9352819179(ISBN13:9789352819171),https://www.goodreads.com/book/show/41216643-gate-overflow-book-for-gate-computer-science-2019?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=263
Discrete Mathematics: Applied Algebra for Computer and Information Science,Leonard S. Bobrow,4.44,16,0,719,1974,1,Hardcover,English,ISBN0721617689(ISBN13:9780721617688),https://www.goodreads.com/book/show/2531555.Discrete_Mathematics?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=264
New GCSE Computer Science OCR Revision Guide - For the Grade 9-1 Course,CGP Books,4.56,16,1,84,,1,Paperback,English,ISBN1782946020(ISBN13:9781782946021),https://www.goodreads.com/book/show/30309335-new-gcse-computer-science-ocr-revision-guide---for-the-grade-9-1-course?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=265
E-world -Computer Science for ICSE Class 7 By Pearson,"['Anita Goel', 'Sanchayan Kumar Ray']",0.0,0,0,156,,1,Paperback,,ISBN933257958X(ISBN13:9789332579583),https://www.goodreads.com/book/show/50091735-e-world--computer-science-for-icse-class-7-by-pearson?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=266
"Linux: This Book Includes 4 Manuscripts. The Underground Bible to the UNIX Operating System with Tools On Security and Kali Hacking to Understand Computer Programming, Data Science and Command Line",Darwin Growth,0.0,0,0,490,,4,Kindle Edition,,,https://www.goodreads.com/book/show/50931211-linux?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=267
Logic for Mathematics and Computer Science,Stanley N. Burris,3.43,7,0,448,1997,1,Paperback,English,ISBN0132859742(ISBN13:9780132859745),https://www.goodreads.com/book/show/4955897-logic-for-mathematics-and-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=268
"Data Structures and Algorithm Analysis in Java, Third Edition (Dover Books on Computer Science)",Clifford Shaffer,3.33,6,0,608,2012,1,Kindle Edition,English,ISBN0486173569(ISBN13:9780486173566),https://www.goodreads.com/book/show/18868170-data-structures-and-algorithm-analysis-in-java-third-edition?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=270
Dynamic Programming (Dover Books on Computer Science),Richard E. Bellman,4.28,18,1,384,1957,6,Kindle Edition,English,ISBN0486317196(ISBN13:9780486317199),https://www.goodreads.com/book/show/19091559-dynamic-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=271
Python: A Beginner to Expert Guide to Learning the basics of Python Programming (Computer Science Series),"['Jordan Connor', 'James       Patterson']",3.4,5,0,166,,1,Kindle Edition,,,https://www.goodreads.com/book/show/30848771-python?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=273
Handbook of Theoretical Computer Science: Algorithms and Complexity,Jan Van Leeuwen,4.5,2,0,1006,1990,2,Paperback,English,ISBN0262720140(ISBN13:9780262720144),https://www.goodreads.com/book/show/6479614-handbook-of-theoretical-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=274
C by Example,Noel Kalicharan,5.0,3,0,380,1994,2,Kindle Edition,English,ISBN139780511903045,https://www.goodreads.com/book/show/19224079-c-by-example?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=275
Click Start Level 5 Student's Book: Computer Science for Schools,"['Anjana Virmani', 'Shalini Harisukh']",4.57,7,0,148,,1,Paperback,,ISBN1107683246(ISBN13:9781107683242),https://www.goodreads.com/book/show/28131796-click-start-level-5-student-s-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=276
UGC NET Computer Science & Applications Previous Years Solved Papers (2004-2017) of Theory of Computation (Automata),Veenu Saini,4.25,4,0,96,,1,Kindle Edition,,,https://www.goodreads.com/book/show/35623607-ugc-net-computer-science-applications-previous-years-solved-papers-20?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=277
"Theory of Computer Science: Automata, Languages and Computation",K.L.P. Chandrasekaran,3.67,3,0,436,2010,1,Kindle Edition,,,https://www.goodreads.com/book/show/24072555-theory-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=278
A Hand Book on Computer Science & IT,CONTAINS WELL ILLUSTRATED FORMULA E AND KEY THEORY CONCEPTS,4.0,13,1,355,,1,Paperback,,ISBN9383643242,https://www.goodreads.com/book/show/26251461-a-hand-book-on-computer-science-it?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=279
"Python Programming : The Easiest Python Crash Course to Go Deep Through The Main Applications As Web Development, Data Analysis, And Data Science Including Machine Learning (computer science Book 1)",Alan Grid,4.0,7,6,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/54909026-python-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=281
Artificial Intelligence: Subject Notes (Computer Science Notes Book 2),Mohit Thakkar,4.0,1,0,,,2,Kindle Edition,,,https://www.goodreads.com/book/show/38504814-artificial-intelligence?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=284
Cambridge IGCSE Computer Science Programming Book: For Microsoft Visual Basic,Richard Morgan,4.67,3,0,170,2015,1,Paperback,,ISBN1107518644(ISBN13:9781107518643),https://www.goodreads.com/book/show/26636280-cambridge-igcse-computer-science-programming-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=285
Essential Discrete Mathematics for Computer Science,"['Harry Lewis', 'Rachel Zax']",4.67,3,0,408,,2,Hardcover,,ISBN0691179298(ISBN13:9780691179292),https://www.goodreads.com/book/show/41795410-essential-discrete-mathematics-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=287
Gre Computer Science,"['Research & Education Association', 'Gary Wester']",2.5,6,0,253,1998,2,Paperback,,ISBN0878918477(ISBN13:9780878918478),https://www.goodreads.com/book/show/1574237.Gre_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=288
Architects of the Information Society: Thirty-Five Years of the Laboratory for Computer Science at MIT,Simson Garfinkel,3.13,8,0,86,1999,4,Hardcover,English,ISBN0262071967(ISBN13:9780262071963),https://www.goodreads.com/book/show/2180231.Architects_of_the_Information_Society?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=289
Introduction to Combinatorial Mathematics (Computer Science Series),Chung L. Liu,3.5,2,0,393,1968,1,Hardcover,English,ISBN0070381240(ISBN13:9780070381247),https://www.goodreads.com/book/show/15143602-introduction-to-combinatorial-mathematics?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=291
Computer Science LOGO Style,Brian Harvey,3.43,7,1,320,1985,5,Paperback,English,ISBN0262580721(ISBN13:9780262580724),https://www.goodreads.com/book/show/4961393-computer-science-logo-style?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=293
Classroom Notes for Fundamentals of Computer Science,Dana Clark,2.0,1,1,256,,1,Paperback,English,ISBN0840323956(ISBN13:9780840323958),https://www.goodreads.com/book/show/15402115-classroom-notes-for-fundamentals-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=294
"AP Computer Science A, 7th edition",Roselyn Teukolsky,4.2,5,0,,2015,2,Kindle Edition,English,,https://www.goodreads.com/book/show/26850315-ap-computer-science-a-7th-edition?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=295
Together with Computer Science (C++) for Class XII,"['Reeta Sahoo', 'Gagan Sahoo']",5.0,2,0,,,1,Paperback,,ISBN8187414448(ISBN13:9788187414445),https://www.goodreads.com/book/show/30489578-together-with-computer-science-c-for-class-xii?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=296
Discrete Mathematics for Computer Science,"['Kenneth P. Bogart', 'Clifford Stein']",4.0,2,0,425,2005,2,Hardcover,English,ISBN1930190867(ISBN13:9781930190863),https://www.goodreads.com/book/show/2426938.Discrete_Mathematics_for_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=297
HTET PGT Computer Science Level-3,Arihant Experts,2.67,3,1,576,,1,Paperback,,ISBN9352039203(ISBN13:9789352039203),https://www.goodreads.com/book/show/33882110-htet-pgt-computer-science-level-3?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=298
Click Start Level 9 Student's Book: Computer Science for Schools,Narasimhan Meera,4.0,4,0,,,1,Paperback,,ISBN1107649978(ISBN13:9781107649972),https://www.goodreads.com/book/show/28131595-click-start-level-9-student-s-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=300
UGC NET Computer Science Previous Years Solved Papers (2004-2017) Paper-II &III,Veenu Saini,4.67,3,0,696,,1,Kindle Edition,,,https://www.goodreads.com/book/show/35916531-ugc-net-computer-science-previous-years-solved-papers-2004-2017-paper-?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=301
"Java Programming: learn how to code with an object-oriented program to improve your software engineering skills. get familiar with virtual machine, javascript, ... and machine code (computer science Book 2)",Alan Grid,4.7,10,9,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/54868453-java-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=302
Click Start 6 : Computer Science For Schools,Anjna Virmani,4.5,2,0,152,,1,Paperback,,ISBN0521185483,https://www.goodreads.com/book/show/28373957-click-start-6?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=303
Gate 2018: Computer Science & it Engineering Solved Papers,Made Easy Editorial Board,3.57,14,0,658,,1,Paperback,,ISBN9351472604(ISBN13:9789351472605),https://www.goodreads.com/book/show/35131758-gate-2018?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=304
Mathematical Foundation for computer Science,"['S. Santha', 'E.V. Prasad']",0.0,0,0,518,,1,Paperback,,ISBN8131515931(ISBN13:9788131515938),https://www.goodreads.com/book/show/29916242-mathematical-foundation-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=305
Barron's AP Computer Science A with Online Tests,Roselyn Teukolsky M S,3.11,9,0,528,,1,Paperback,,ISBN1438009194(ISBN13:9781438009193),https://www.goodreads.com/book/show/36081811-barron-s-ap-computer-science-a-with-online-tests?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=306
"Itcs 2011: International Conference on Information Technology and Computer Science: Proceedings, 23-24 July 2011: Huangshi, China",International Conference on Information Technology and Computer Science,0.0,0,0,639,,1,Unknown Binding,,ISBN0791859746(ISBN13:9780791859742),https://www.goodreads.com/book/show/50155515-itcs-2011?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=307
The artificial neural network book : Statistical Pattern Recognition: Computer Science and Scientific Computing Series,Computer Science and Scientific Computing Series Computing Series,0.0,0,0,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/55276794-the-artificial-neural-network-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=308
"Science, Computers, and People: From the Tree of Mathematics","['Stanislaw M. Ulam', 'Gian-Carlo Rota', 'Mark C. Reynolds']",4.0,2,0,266,1986,2,Paperback,English,ISBN081763276X(ISBN13:9780817632762),https://www.goodreads.com/book/show/2292546.Science_Computers_and_People?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=310
UGC-CSIR NET (JRF & LS) Computer Science & Applications,"['Surbhi Sharma', 'Kailash Chandra Gurunani']",3.4,5,0,1208,,1,Paperback,,ISBN9350943530(ISBN13:9789350943533),https://www.goodreads.com/book/show/30625496-ugc-csir-net-jrf-ls-computer-science-applications?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=311
Artificial Intelligence: A Systems Approach (Computer Science Series),M. Tim Jones,3.62,21,3,498,2007,3,Hardcover,English,ISBN0763773379(ISBN13:9780763773373),https://www.goodreads.com/book/show/8312156-artificial-intelligence?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=312
Click Start 9 and 10 Level 9: Computer Science for Schools,Narasimhan Meera,3.0,2,0,,2016,1,ebook,,ISBN1107537649(ISBN13:9781107537644),https://www.goodreads.com/book/show/24728526-click-start-9-and-10-level-9?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=314
